,northing, easting, zone, longitude, latitude,distance_km
2264,4479609,443268.0,30,-3.66918374859248,40.46521834886244,6.100129154344016
2265,4479331,442986.0,30,-3.672484893006049,40.46269469357223,5.721441913918657
2266,4479172,442931.0,30,-3.67311928244611,40.46125857282002,5.555126852019911
2267,4478938,442916.0,30,-3.673275147792722,40.459149562603486,5.3423274211873
2268,4478692,442942.0,30,-3.672946399485741,40.45693526588686,5.141844130781661
2269,4478398,442898.0,30,-3.673438860748686,40.45428375423858,4.867687163932673
2270,4471716,444630.0,30,-3.652431726314296,40.39420578459304,5.010725738953461
2271,4471700,444583.0,30,-3.652984106809944,40.39405852107678,4.978586551793995
2272,4472003,444766.1,30,-3.6508530358858735,40.39680029047344,4.991472643569981
2273,4472034,444745.0,30,-3.6511043444044007,40.397078157400415,4.958611397562246
2274,4471956,445056.0,30,-3.647433127918561,40.39639606248282,5.271940189030395
2275,4471982,445021.0,30,-3.6478477707424406,40.39662797643709,5.229068457845775
2276,4471908,445435.0,30,-3.642963332165381,40.39598856678788,5.635001402789855
2277,4471891,445507.0,30,-3.642113520269033,40.39584013445873,5.707538915851415
2278,4471735,445656.0,30,-3.640344582380592,40.394444525310576,5.908629614830633
2279,4471734,445703.0,30,-3.639790720882775,40.394438582061696,5.951555729995409
2280,4471603,445664.0,30,-3.6402390597426337,40.39325590885245,5.973660517985658
2281,4471627,445685.0,30,-3.6399936791167855,40.39347348556981,5.9818117626954
2282,4471475,445879.0,30,-3.637694994121421,40.39211680226626,6.22331275623778
2283,4471516,445863.0,30,-3.6378869925068607,40.39248511636483,6.190654701140407
2284,4471556,446107.0,30,-3.6350155350852944,40.39286128505998,6.393058639029248
2285,4471558,446146.0,30,-3.634556198056468,40.392881824870415,6.4275557172646876
2286,4471415,446107.0,30,-3.6350036033561697,40.39159106737712,6.454229255898181
2287,4471366,446143.0,30,-3.634575308257351,40.39115197256665,6.508276899345885
2288,4471319,445817.0,30,-3.638412210991593,40.39070742496142,6.2402664200201245
2289,4471358,445882.0,30,-3.637649706090832,40.39106298719624,6.279432206466705
2290,4472313,440507.2,30,-3.7010636538062536,40.39929957703875,1.9667982714847176
2291,4471685,439980.0,30,-3.7072165395947194,40.39360440998044,2.6086474681288294
2292,4471664,440054.0,30,-3.706342682598162,40.39342056068843,2.6208921227748854
2293,4471501,439635.0,30,-3.711263942806244,40.39192191444825,2.8540763440057004
2294,4471458,439690.0,30,-3.7106118685463896,40.39153853318934,2.8832988310146304
2295,4471258,439395.0,30,-3.7140684655714233,40.38971542330977,3.1526128790710946
2296,4471198,439431.0,30,-3.713638627226872,40.38917753199642,3.1998217338659747
2297,4471010,439259.0,30,-3.7156470963667823,40.38747141169405,3.430205771562625
2298,4471086,438377.0,30,-3.726045338205524,40.38809128103931,3.7322719315741106
2299,4471289,438111.0,30,-3.729198847370721,40.389900280417066,3.7125803178476757
2300,4471474,437803.0,30,-3.732845601137704,40.39154390450988,3.7644487514569738
2301,4471462,437775.0,30,-3.733174317379913,40.39143371186004,3.792134676600127
2302,4471591,437623.0,30,-3.734977772503124,40.39258443294681,3.8038960747125485
2303,4471554,437619.0,30,-3.735021276004059,40.392250820833,3.8328867383532716
