northing, easting, zone, longitude, latitude
4481496,438778,30,-3.722323947858408,40.48189836596655
4481630,439093.6,30,-3.7186135127009567,40.48312869353369
4481717,439169,30,-3.717732308472824,40.48391794667712
4481669,439340.2,30,-3.7157079122478507,40.48349807189017
4481646,439548,30,-3.7132541259750926,40.48330603571503
4481673,439565,30,-3.713056136938686,40.483550498713186
4481692,439340.7,30,-3.715704214036545,40.483705300316345
4481401,439697.6,30,-3.711465869163841,40.48110986780379
4481398,439718,30,-3.71122491619753,40.481084324001046
4481240,439802,30,-3.7102189310588365,40.47966709730562
4481277,439849.4,30,-3.7096632542078387,40.48000384152428
4481302,440038.9,30,-3.7074300389438584,40.48024275597546
4481326,440038.4,30,-3.7074382072048904,40.480458920620215
4481388,440370.6,30,-3.7035249612879917,40.48104136180199
4481379,440210,30,-3.7054187818632154,40.48094873784778
4481494,440545,30,-3.701477426094442,40.48200875530009
4481502,440525,30,-3.7017141289579323,40.482079389941354
4481759,440602.9,30,-3.700819171747288,40.484400118051354
4481842,440782.3,30,-3.6987103559729197,40.48516062828346
4482023,440760.8,30,-3.698980932045045,40.486789609831085
4481968,440781.7,30,-3.6987292058219046,40.48629564048813
4482213,440901.7,30,-3.6973362436466775,40.48851124291739
4482218,440748,30,-3.699150181450062,40.48854532835249
4481998,440504,30,-3.7020084296044646,40.48654603646149
4481804,440818.2,30,-3.698283253661301,40.48482086990403
4481697,440589.1,30,-3.7009761742877094,40.48384061165131
4477639,440393.1,30,-3.702907369297895,40.4472704918848
4477418,440386,30,-3.7029703464876715,40.445279120524376
4476837,440373.2,30,-3.7030667400764052,40.44004430366342
4476666,440364,30,-3.703159160519788,40.438503201173795
4476461,440417,30,-3.7025150673959577,40.436660269898994
4476422,440568,30,-3.700731176521819,40.436319745199405
4476455,440593,30,-3.7004395207488248,40.43661881013224
